[@0,0:4='class',<'class'>,1:0]
[@1,6:7='ID',<ID>,1:6]
[@2,9:9='{',<'{'>,2:0]
[@3,12:17='public',<'public'>,3:1]
[@4,19:24='static',<'static'>,3:8]
[@5,26:29='void',<'void'>,3:15]
[@6,31:34='main',<'main'>,3:20]
[@7,36:36='(',<'('>,3:25]
[@8,37:42='String',<'String'>,3:26]
[@9,43:43='[',<'['>,3:32]
[@10,44:44=']',<']'>,3:33]
[@11,46:49='args',<ID>,3:35]
[@12,50:50=')',<')'>,3:39]
[@13,52:52='{',<'{'>,3:41]
[@14,56:61='return',<'return'>,4:2]
[@15,63:63='0',<INT>,4:9]
[@16,64:64=';',<';'>,4:10]
[@17,67:67='}',<'}'>,5:1]
[@18,69:69='}',<'}'>,6:0]
[@19,71:70='<EOF>',<EOF>,7:0]
